"Replicate.Name","Area.Value","Mz.Value","RT.Value","SN.Value","Alignment.ID","Average.Rt.min.","Metabolite.name","Adduct.type","MS.MS.assigned","Reference.RT","Reference.m.z","Comment","RT.similarity","S.N.average","Spectrum.reference.file.name"
"190912_Blk_HBlk1_A.0.2",1172890,269.249,8.698,13.04751,"2793","8.9","FA 17:0","[M-H]-","FALSE","8.9","269.24805","G;","99.9","273.86","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.2",119089,275.201,5.016,4.662612,"3014","5.296","FA 18:4","[M-H]-","FALSE","5.3","275.20111","G;","100","1338.39","190912_Smp_HS4C27D40_C-0-3"
"190912_Blk_HBlk1_A.0.2",125354,277.217,5.287,4.34342,"3076","6.06","FA 18:3_Std","[M-H]-","FALSE","6.3","277.21677","G;","98.9","489.33","190912_Std_FA-StdsInMatrix_2"
"190912_Blk_HBlk1_A.0.2",2519046,279.233,6.601,33.6583,"3130","6.958","FA 18:2_Std","[M-H]-","FALSE","7","279.23239","G;","100","1524.52","190912_Std_FA-StdsInSolvent_2"
"190912_Blk_HBlk1_A.0.2",12008404,281.249,8.219,199.1445,"3200","8.226","FA 18:1 cis-6_Std","[M-H]-","FALSE","8.2","281.24805","G;","99.9","2534.32","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.2",117253976,283.264,10.09,418.7961,"3276","10.045","FA 18:0_Std","[M-H]-","FALSE","10.1","283.2637","G;","99.8","2629.05","190912_Smp_HS6C3D200_C-0-3"
"190912_Blk_HBlk1_A.0.2",7890829,286.266,8.212,869.0048,"3379","8.233","FA 18:1 TAG_IS","[M-H]-","FALSE","8.2","286.2652","G;","99.9","15182.62","190912_Smp_HS3D750_0-2"
"190912_Blk_HBlk1_A.0.2",898243,286.428,7.692,161.4895,"3388","7.71","FA 16:0_IS","[M-H]-","FALSE","7.7","286.42679","G;","100","13933.45","190912_Std_FA-IS-InSolvent_1"
"190912_Blk_HBlk1_A.0.2",157979,297.28,10.716,4.342694,"3718","11.226","FA 19:0","[M-H]-","FALSE","11.2","297.27936","ok","99.8","41.08","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.2",328013,301.217,5.894,9.045987,"3856","5.889","FA 20:5_Std","[M-H]-","FALSE","5.9","301.2168","G; there are a few samples with a really large second peak. Is this the actual peak? shifted? or something else","100","1885.78","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.2",229420,303.233,6.704,30.66023,"3908","6.719","FA 20:4_Std","[M-H]-","FALSE","6.7","303.23239","G;","100","3768.92","190912_Std_FA-StdsInSolvent_2"
"190912_Blk_HBlk1_A.0.2",5554,305.249,7.382,0.6386183,"3978","7.471","FA 20:3","[M-H]-","FALSE","7.5","305.24805","ok","100","116.72","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_A.0.2",750968,306.249,5.846,112.4234,"4000","5.861","FA 20:5_IS","[M-H]-","FALSE","5.9","306.24841","G;","100","10476.69","190912_Std_FA-IS-InSolvent_1"
"190912_Blk_HBlk1_A.0.2",15483,307.265,8.833,1.395459,"4037","8.734","FA 20:2","[M-H]-","FALSE","8.7","307.2637","G;","100","105.09","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.2",196355,309.28,10.275,13.11025,"4081","10.281","FA 20:1","[M-H]-","FALSE","10.3","309.27936","G;","100","217.18","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.2",83208,311.284,6.649,11.39747,"4143","6.665","FA 20:4_IS","[M-H]-","FALSE","6.7","311.28299","G;","100","1911.3","190912_Std_FA-IS-InSolvent_1"
"190912_Blk_HBlk1_A.0.2",737102,311.296,12.189,52.75365,"4145","12.477","FA 20:0","[M-H]-","FALSE","12.5","311.29501","G; peaks at 10.8 is not it","100","529.46","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.2",23365,325.312,13.477,4.398231,"4587","13.75","FA 21:0","[M-H]-","FALSE","13.8","325.31067","Not Sure","100","45.55","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.2",27679,327.233,6.409,3.908094,"4650","6.424","FA 22:6_Std","[M-H]-","FALSE","6.4","327.23239","G;","100","7428.18","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_A.0.2",538,329.249,6.869,0.3374802,"4725","7.312","FA 22:5","[M-H]-","FALSE","7","329.24805","ok","100","324.21","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_A.0.2",438606,331.265,8.14,3.84048,"4789","8.13","FA 22:4","[M-H]-","FALSE","8","331.2637","ok","100","76.75","190912_Smp_HU12_B_0-3"
"190912_Blk_HBlk1_A.0.2",1559275,332.265,6.382,165.8271,"4817","6.395","FA 22:6_IS","[M-H]-","FALSE","6.4","332.26431","G;","100","23200.92","190912_Std_FA-IS-InSolvent_1"
"190912_Blk_HBlk1_A.0.2",0,333.28,0,0,"4858","9.397","FA 22:3","[M-H]-","FALSE","9.1","333.27936","ok","96.3","11.08","190912_Smp_HS6C3D400_C-0-2"
"190912_Blk_HBlk1_A.0.2",0,335.296,0,0,"4910","10.78","FA 22:2","[M-H]-","FALSE","10.8","335.29501","Not sure","100","42.23","190912_Smp_HS6C3D400_C-0-2"
"190912_Blk_HBlk1_A.0.2",613961,337.312,12.347,67.66018,"4970","12.616","FA 22:1_Std","[M-H]-","FALSE","12.6","337.31067","ok","99.9","624.43","190912_Std_FA-StdsInSolvent_2"
"190912_Blk_HBlk1_A.0.2",124202,339.327,14.788,11.46839,"5044","15.03","FA 22:0","[M-H]-","FALSE","15.1","339.32629","G;","100","174.15","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.2",54587,353.343,16.108,7.800132,"5461","16.287","FA 23:0","[M-H]-","FALSE","16.3","353.34195","ok","99.9","113.61","190912_Smp_HS6C3D400_C-0-2"
"190912_Blk_HBlk1_A.0.2",8071,355.265,7.336,1.063795,"5503","7.544","FA 24:6","[M-H]-","FALSE","7.5","355.2637","ok","99.9","39.74","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.2",31663,357.28,8.153,0.7711461,"5573","8.518","FA 24:5","[M-H]-","FALSE","8.5","357.27936","G; but only for the 0.3","100","17.66","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.2",0,359.296,0,0,"5650","9.705","FA 24:4","[M-H]-","FALSE","9.8","359.29501","ok but peaks not great","100","19.96","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.2",0,361.312,0,0,"5728","11.408","FA 24:3","[M-H]-","FALSE","11.5","361.31067","ok","99.9","24.77","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.2",0,363.328,0,0,"5800","13.055","FA 24:2","[M-H]-","FALSE","13.1","363.32629","G;","100","73.94","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.2",25356,365.342,15.033,7.358004,"5882","15.08","FA 24:1_Std","[M-H]-","FALSE","15.2","365.34195","G;","99.9","1150.52","190912_Std_FA-StdsInSolvent_2"
"190912_Blk_HBlk1_A.0.2",300281,367.358,17.483,48.4157,"5956","17.503","FA 24:0","[M-H]-","FALSE","17.5","367.3576","G;","99.9","603.5","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_A.0.2",185931,381.374,18.58,11.60859,"6460","18.599","FA 25:0","[M-H]-","FALSE","18.7","381.37326","G;","99.6","159.29","190912_Smp_HS6C3D400_C-0-2"
"190912_Blk_HBlk1_A.0.2",0,383.296,0,0,"6576","9.054","FA 26:6","[M-H]-","FALSE","9.1","383.29501","G;","100","17.85","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.2",0,385.312,0,0,"6654","10.33","FA 26:5","[M-H]-","FALSE","10.4","385.31067","ok; is the RT inputed correct?","99.9","24.26","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.2",0,387.328,0,0,"6734","11.932","FA 26:4","[M-H]-","FALSE","12","387.32629","G;","99.9","53.79","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.2",0,389.343,0,0,"6813","13.791","FA 26:3","[M-H]-","FALSE","13.9","389.34195","ok","99.7","60.33","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.2",2037,393.374,17.334,1.609307,"6964","17.511","FA 26:1","[M-H]-","FALSE","17.9","393.37326","G;","100","1339.9","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_A.0.2",160742,395.39,19.459,40.63625,"7042","19.495","FA 26:0","[M-H]-","FALSE","19.5","395.38892","G;","100","683.61","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_A.0.3",3809496,171.138,2.857,26.49679,"514","2.946","FA 10:0","[M-H]-","FALSE","3.1","171.1385","G; real peak is at 3 min","98.6","22.18","190912_Smp_HS5C3D400_C-0-3"
"190912_Blk_HBlk1_A.0.3",684020,185.154,3.905,19.92402,"782","3.772","FA 11:0","[M-H]-","FALSE","3.9","185.15421","ok","100","15.68","190912_Std_FA-StdsInSolvent_2"
"190912_Blk_HBlk1_A.0.3",5209324,199.17,4.709,277.3773,"1064","4.698","FA 12:0","[M-H]-","FALSE","4.7","199.1698","G;","100","265.99","190912_Smp_HS2C1D5_0-3"
"190912_Blk_HBlk1_A.0.3",619665,213.186,5.492,15.4064,"1406","5.363","FA 13:0","[M-H]-","FALSE","5.3","213.18546","ok","100","32.25","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",639442,225.186,5.202,23.27366,"1755","5.154","FA 14:1","[M-H]-","FALSE","5.2","225.18546","G;","99.9","126.89","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",9144414,227.202,6.266,558.5237,"1803","6.249","FA 14:0","[M-H]-","FALSE","6.3","227.20111","G;","100","2677.18","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",587524,239.202,5.961,30.6839,"2064","5.954","FA 15:1","[M-H]-","FALSE","6","239.20111","G;","100","143.72","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",4054008,241.217,7.052,193.6089,"2141","6.987","FA 15:0","[M-H]-","FALSE","6.9","241.21675","G","99.8","371.16","190912_Smp_HU12_C_0-3"
